"dx=0.05 over [-20,20]"
max N: 10000
ln N,ln sigma 1,ln sigma 2,ln sigma 3
6.90775527898,-3.54527183776,-3.01140929132,-3.47771225794
6.90875477932,-3.54624745702,-3.01232719208,-3.478317807
6.90975328164,-3.54723515494,-3.01215278066,-3.47689393508
6.91075078796,-3.5482024216,-3.01294907427,-3.47788903792
6.91174730025,-3.54752287554,-3.01390565691,-3.47757098266
6.91274282049,-3.54849280907,-3.01475687682,-3.47856447661
6.91373735066,-3.54945473664,-3.01575094959,-3.4795575353
6.91473089272,-3.55019510327,-3.01663476924,-3.48042085277
6.91572344863,-3.55060350388,-3.01742937483,-3.48140613317
6.91671502035,-3.55132370541,-3.01821195573,-3.48239769939
6.91770560984,-3.55098652459,-3.01857798959,-3.4833522511
6.91869521902,-3.55196648663,-3.01950156581,-3.48434076114
6.91968384985,-3.55189069927,-3.02045897907,-3.48481439106
6.92067150425,-3.55285796629,-3.02127003534,-3.48572865607
6.92165818415,-3.55371219322,-3.02205374257,-3.48671484117
6.92264389148,-3.55450997361,-3.02285899374,-3.48770054723
6.92362862814,-3.55546947566,-3.0230024387,-3.48857772249
6.92461239605,-3.55643534457,-3.02395828832,-3.48910368619
6.92559519711,-3.55739440724,-3.02488308252,-3.49001954523
6.92657703322,-3.55830579984,-3.02572353195,-3.49097673906
6.92755790628,-3.55592258739,-3.0265419604,-3.49195584266
6.92853781816,-3.55690201532,-3.02745936975,-3.49285684268
6.92951677076,-3.55773132781,-3.0283920224,-3.4937101106
6.93049476595,-3.55863631994,-3.02905863852,-3.48952085832
6.9314718056,-3.55961163225,-3.02985313192,-3.49040282712
6.93244789157,-3.56057719768,-3.03062549586,-3.49137663169
6.93342302573,-3.56141280546,-3.03141139913,-3.49234143524
6.93439720993,-3.56215836393,-3.03220711906,-3.493291298
6.93537044602,-3.56186221097,-3.03307598519,-3.49422506872
6.93634273583,-3.56230554557,-3.03393634888,-3.49507258967
6.93731408122,-3.56309168947,-3.03474532247,-3.49603465476
6.93828448402,-3.56400320246,-3.03569925653,-3.4963956665
